,comuna1,comuna,Ubar,Abar,L,w_mean
201,9119,VILCUN,0.0030777816923334015,0.001893373524616933,28326,2931705.0
202,9120,VILLARRICA,0.004908643297530756,0.0034285636868719477,56139,5259884.28
203,9121,CHOLCHOL,0.0018243012460740706,0.001753314159771439,12026,2655311.2800000003
204,9201,ANGOL,0.003996738225435081,0.0030922157180571686,55845,4835292.36
205,9202,COLLIPULLI,0.002761017591653649,0.0026871590361458304,24708,4068514.92
206,9203,CURACAUTIN,0.0022566175927947124,0.003047513934226801,17107,4543167.72
207,9204,ERCILLA,0.0014801461941531333,0.002403367004570943,9140,3570646.08
208,9205,LONQUIMAY,0.0016932264316129983,0.0019259526712798888,10981,2906873.7600000002
209,9206,LOS SAUCES,0.0012531787732015134,0.002943578770324154,7818,4305708.0
210,9207,LUMACO,0.0016386606667596975,0.002433658017579037,11217,3624757.56
211,9208,PUREN,0.0020299571637491525,0.002087409342690239,12885,3142637.64
212,9209,RENAICO,0.0015600850251400568,0.0029894516966733585,10738,4418666.28
213,9210,TRAIGUEN,0.002299682712017127,0.003005976230560357,19707,4517300.28
214,9211,VICTORIA,0.0033653888112912295,0.0023958302271951887,34869,3698851.08
215,10101,PUERTO MONTT,0.00774246692129291,0.0033596122828813604,252542,5538680.64
216,10102,CALBUCO,0.003210670093857628,0.003304860819996064,35282,5013733.92
217,10104,FRESIA,0.0017776031592639282,0.0028435001700741953,12658,4209966.0
218,10105,FRUTILLAR,0.002739112353924753,0.0028589271906854256,17352,4209570.0
219,10106,LOS MUERMOS,0.0021375123280555873,0.003086746100806401,16312,4578774.72
220,10107,LLANQUIHUE,0.0025368623323209286,0.00308681431659941,18191,4554629.64
221,10108,MAULLIN,0.002085268482419808,0.002443142458839553,15572,3660642.0
222,10109,PUERTO VARAS,0.003922481529922331,0.004354923543692035,41617,6508528.5600000005
223,10201,CASTRO,0.003893893441333663,0.003880982804835247,49451,5958835.5600000005
224,10202,ANCUD,0.003979437804368038,0.002823981884411786,44249,4360892.64
225,10203,CHONCHI,0.002375080910276791,0.003019339117732289,15494,4419061.92
226,10204,CURACO DE VELEZ,0.000752251730163644,0.0038482756138362648,4243,5490615.72
227,10205,DALCAHUE,0.002202716999785965,0.003602621431235075,15927,5293524.72
228,10207,QUEILEN,0.0011119248519683564,0.002491457751874799,5558,3663168.7199999997
229,10208,QUELLON,0.003126570311260684,0.0029344863738805533,31703,4455580.92
230,10209,QUEMCHI,0.0014402323515470647,0.0024413652676760892,9048,3603581.2800000003
231,10210,QUINCHAO,0.001432059116777082,0.003357788832283713,8759,4887727.5600000005
232,10301,OSORNO,0.006803144331328728,0.003256629200537053,158027,5253106.92
233,10302,PUERTO OCTAY,0.0017527704925325213,0.002902447701720093,9360,4223560.92
234,10303,PURRANQUE,0.002667897683587024,0.0027759649853756263,21282,4169691.7199999997
235,10304,PUYEHUE,0.0019636432157317967,0.0033189306768078215,10928,4776939.0
236,10305,RIO NEGRO,0.0016745339783398282,0.0039682514825007936,13350,5814307.92
237,10306,SAN JUAN DE LA COSTA,0.0012079135296479055,0.0026645526571879483,7298,3899901.0
238,10307,SAN PABLO,0.001989276813186039,0.0019683571763023508,10430,2931255.0
239,11101,COYHAIQUE,0.004007894124811509,0.0048582212458618225,61656,7504772.279999999
240,11201,AYSEN,0.0027709908469716266,0.004181939442949677,28283,6262038.72
241,11202,CISNES,0.001039674154520138,0.004168119605374996,5356,5890723.08
242,11301,COCHRANE,0.0006920844105658785,0.004285716588837823,3404,6051972.36
243,11401,CHILE CHICO,0.0009632400743430488,0.004162798993495213,5161,5878057.5600000005
244,11402,RIO IBANEZ,0.0005274741211227562,0.003069047612304927,2315,4496083.92
245,12101,PUNTA ARENAS,0.005201680259640943,0.004743281168417002,129263,7552104.720000001
246,12301,PORVENIR,0.0011682431768051868,0.004966159834224868,7781,7093245.0
247,12401,NATALES,0.002581670697653976,0.0038183459243834052,21855,5640917.64
248,13101,SANTIAGO,0.006855097365553362,0.004996701088549617,386471,8173124.279999999
249,13102,CERRILLOS,0.004786684325786874,0.002842410123634833,87114,4427830.08
250,13103,CERRO NAVIA,0.00598068032132541,0.0025863713336422922,158641,4270036.5600000005
251,13104,CONCHALI,0.006049707130317529,0.0029385677453596082,141225,4762121.28
252,13105,EL BOSQUE,0.006386690464058568,0.00309583875801675,195106,5140297.92
253,13106,ESTACION CENTRAL,0.006526051475043936,0.0033400713916779735,146477,5361137.64
254,13107,HUECHURABA,0.00360977613094946,0.002911808735687296,99019,4461790.92
255,13108,INDEPENDENCIA,0.005785908045079,0.0030618720605268303,85638,4799916.0
256,13109,LA CISTERNA,0.005516050853727207,0.0040840519934516265,93057,6450534.0
257,13110,LA FLORIDA,0.009174608512924258,0.003848397233000387,389846,6507276.720000001
258,13111,LA GRANJA,0.00614816781298607,0.002754978585894485,143819,4512781.92
259,13112,LA PINTANA,0.006898938909582405,0.0021475679527427835,214663,3620799.3600000003
260,13113,LA REINA,0.0039549808120657335,0.009364624629680742,101641,14614546.799999999
261,13114,LAS CONDES,0.0029958479141025812,0.011812802937820676,286735,18907125.6
262,13115,LO BARNECHEA,0.0021913860999155698,0.007381883093571621,108470,11143106.28
263,13116,LO ESPEJO,0.0058613470535178284,0.002442350409719383,120218,3979050.7199999997
264,13118,MACUL,0.00602851008298203,0.003662232522761997,124905,5822239.08
265,13119,MAIPU,0.009778127161387894,0.0035909154211038966,559123,6208633.5600000005
266,13120,NUNOA,0.005868418168132977,0.008461233298764278,229434,13786000.799999999
267,13121,PEDRO AGUIRRE CERDA,0.005639656179766294,0.003181563576895494,122579,5149616.28
268,13122,PENALOLEN,0.007971737430646381,0.0046468452435017805,244800,7610661.0
269,13123,PROVIDENCIA,0.002966654353717881,0.010853961441296273,150742,16939356.0
270,13124,PUDAHUEL,0.007051363941964388,0.0028685820371609377,237938,4722822.36
271,13125,QIULICURA,0.005556905098488406,0.0034312562730932318,224468,5607400.08
272,13126,QUINTA NORMAL,0.006214551096680895,0.003140239930168406,116217,5008594.92
273,13127,RECOLETA,0.005850958643376692,0.003715031768814656,170326,6009071.64
274,13129,SAN JOAQUIN,0.006205775209575451,0.002905229097735915,104837,4585656.72
275,13130,SAN MIGUEL,0.006472733727353444,0.004930001643585985,115158,7757030.279999999
276,13131,SAN RAMON,0.005360658745964949,0.002645733499929946,99940,4261516.5600000005
277,13132,VITACURA,0.0018721094761713374,0.015209287183246361,88739,23089531.200000003
278,13201,PUENTE ALTO,0.00968402177819175,0.002812972819545549,625553,4935419.64
279,13202,PIRQUE,0.0021845833373381343,0.006022078187558715,22805,8753306.28
280,13203,SAN JOSE DE MAIPO,0.0022293824518532764,0.003724315447871121,15147,5371785.36
281,13301,COLINA,0.004349512997166288,0.0061396371767753226,128760,9671687.28
282,13302,LAMPA,0.004160374091915148,0.004250106961138887,97124,6671527.5600000005
283,13303,TIL-TIL,0.002563955788941492,0.0034001719568067107,17940,4971346.5600000005
284,13401,SAN BERNARDO,0.008288913405094078,0.0029094434542251786,303520,4866555.36
285,13402,BUIN,0.005843973572405003,0.003019021513552632,86079,4739211.72
286,13403,CALERA DE TANGO,0.0036175751382467617,0.0034957578228144745,25528,5105142.36
