,comuna1,comuna,Exento,L,w,PI,PI_Wr,f,ip,welfare
4216,8311,SANTA BARBARA,26.0,12659.433264661646,3900032.8738099895,0.7960563856589075,0.00035083499248940117,4.641414499862524e-08,1.7514031683320322e-08,0.0006619321081853136
4217,8312,TUCAPEL,26.0,14252.182092050643,3350564.892444834,0.8176808914454177,0.0003521115761856817,6.318842867737679e-08,9.779171690025694e-09,0.0006637758462121966
4218,8313,YUMBEL,26.0,21252.435957256686,3855381.8852194725,0.8549704093586666,0.00035216547952886235,7.502508477918108e-08,1.541465750964618e-08,0.0006624458045918702
4219,8401,CHILLAN,26.0,181383.8290423911,5031278.374759829,1.4525755229947834,0.00035367404732093016,3.4279511063985093e-07,2.1000194890547515e-07,0.0006576417383332689
4220,8402,BULNES,26.0,21662.582106327813,3323315.288742604,0.8838715820195535,0.00035330923088772344,7.861486657763756e-08,1.0844128926596913e-08,0.0006628227895551562
4221,8403,COBQUECURA,26.0,5613.052658465329,3467436.964352206,0.6891669805195864,0.00035171490490177004,4.124498952827496e-08,2.6245447101086773e-09,0.0006602715261322709
4222,8404,COELEMU,26.0,16800.615215592137,4301852.766468563,0.8064012590342077,0.00035225267333990174,6.536797577393769e-08,8.530682848796185e-09,0.0006619139654953839
4223,8405,COIHUECO,26.0,25654.10338929458,3189821.2981028277,0.8388914553411447,0.00035255864100533713,9.132796946186952e-08,5.9720213076991265e-09,0.000661226126561832
4224,8406,CHILLAN VIEJO,26.0,33353.65366885543,4143450.1567918947,1.0034390637399808,0.00035358535394778076,1.0738412072608206e-07,2.2339246022670458e-08,0.0006632591463104989
4225,8407,EL CARMEN,26.0,12691.209721593434,2964933.7715817094,0.7382453065021297,0.0003526152468453904,5.8233977225786154e-08,3.7017345309223352e-09,0.0006599481588687962
4226,8408,NINHUE,26.0,5748.76739623097,2825144.262819311,0.6087725702036544,0.00035265259559110737,4.07169605482447e-08,1.6650912455108969e-09,0.0006599158293406744
4227,8409,NIQUEN,26.0,11513.697744479568,3294442.8437972977,0.6359861794933882,0.0003541089946941767,5.294541586373966e-08,2.328184829722726e-09,0.0006596731891281041
4228,8410,PEMUCO,26.0,9217.765116621053,3286479.7844675127,0.764308630632365,0.00035269306711029666,3.720597999426287e-08,1.6749549083115968e-08,0.0006605074446546945
4229,8411,PINTO,26.0,11411.373249439015,3582524.914896804,0.970351833028011,0.000352635157743014,4.399799290601126e-08,1.4177128782320907e-08,0.000657977831935653
4230,8412,PORTEZUELO,26.0,5572.760796396252,3026511.0004652166,0.6618245990098873,0.00035261905418825906,3.9851464695256e-08,1.4996351576597267e-09,0.0006598472757251036
4231,8413,QUILLON,26.0,16772.202370075414,3268358.4061941877,0.886690833081329,0.000352694723457593,6.553965853118403e-08,9.601090506215487e-09,0.0006611608510499341
4232,8414,QUIRIHUE,26.0,13420.106411376944,3663922.336596904,0.7621068070054009,0.000349371191329497,6.267274297233921e-08,4.0564007855120114e-09,0.0006628162119981518
4233,8415,RANQUIL,26.0,6059.679453303723,4254849.473714304,0.9312109441956836,0.0003523533677969022,3.0700969278479186e-08,1.286940369702015e-08,0.0006603292151073678
4234,8416,SAN CARLOS,26.0,52370.38461424455,3849280.9419941027,1.0531325183576685,0.00035392197482023277,1.4911912704654066e-07,3.036083694274264e-08,0.0006631706468478682
4235,8417,SAN FABIAN,26.0,4063.286222271595,3372431.4376748954,0.6918647242298943,0.00035225979473429877,3.002417178572689e-08,7.302802959713804e-09,0.0006596037383035649
4236,8419,SAN NICOLAS,26.0,11511.15986270843,3135715.240456763,0.7008900478360149,0.00035339727870536497,4.815369028990346e-08,8.177406378110963e-09,0.0006607481082019277
4237,8420,TREHUACO,26.0,5227.372743586185,2717631.272070083,0.65054580574643,0.0003523916478147271,3.920041738374412e-08,1.5840703718213037e-09,0.0006600593739500631
4238,8421,YUNGAY,26.0,18086.956758478223,4479724.847680067,0.8773980525538971,0.00035238381463868014,6.638308974655864e-08,1.242706319522147e-08,0.0006617396228996115
