,comuna1,comuna,delta2,L,w,PI,f,ip,welfare,PI_Wr
51,5503,HIJUELAS,0.625,18219.608662373954,4217438.144609436,0.8601251090496838,5.281666369221598e-08,2.1040367861544855e-08,0.0006664656823932466,0.00035077239605244107
52,5504,LA CRUZ,0.625,20196.34711433408,4439228.600055423,0.9899418434800982,7.188885801993973e-08,1.5519543427864816e-08,0.0006664656823932464,0.00035038651217152216
53,5506,NOGALES,0.625,23933.373684299135,3659620.625564991,0.954581042834575,7.54209392966293e-08,1.8159822089430137e-08,0.0006664656823932468,0.00035049232785637247
54,5601,SAN ANTONIO,0.625,97539.66018387144,4211457.061062306,1.3305415113817731,1.2961551763208898e-07,1.8599373990065519e-07,0.0006664656823932461,0.0003525551446672323
55,5602,ALGARROBO,0.625,10703.96976167274,7446438.949843703,1.3377590467788085,3.11545649993803e-08,1.1223399763976921e-07,0.0006664656823932466,0.00035178328867495123
56,5603,CARTAGENA,0.625,20570.43612949766,3952742.7066826625,1.003220870358166,7.972248812187502e-08,1.5071360390558927e-08,0.0006664656823932466,0.000352401193558833
57,5604,EL QUISCO,0.625,13647.262628947923,3905352.3459527474,1.1238416703847314,6.217482355846527e-08,2.1934958471092763e-08,0.0006664656823932468,0.00035181196145312593
58,5605,EL TABO,0.625,10596.572668791401,5389675.670651117,1.0431853912351818,6.323011272201218e-08,1.4363948766834566e-08,0.0006664656823932465,0.00035201941339751025
59,5606,SANTO DOMINGO,0.625,9555.40720635213,6358783.560395734,1.2330838194313423,2.8764315928983623e-08,2.846351965872983e-07,0.0006664656823932471,0.00035262842925166076
60,5701,SAN FELIPE,0.625,74840.81359709284,5510441.4129337855,1.1943627390419005,1.8609914136633075e-07,7.407998041687185e-08,0.0006664656823932464,0.00035084367691452534
61,5702,CATEMU,0.625,14156.046461748443,3555474.5197053608,0.8644724914502817,6.193939352099938e-08,9.147744034568339e-09,0.0006664656823932465,0.00035070837323828097
62,5703,LLAY-LLAY,0.625,24963.280901005826,4258954.300730704,0.9176961029700254,8.361125196425699e-08,1.576490188368672e-08,0.0006664656823932464,0.0003512082166437851
63,5704,PANQUEHUE,0.625,7390.242747403434,4723748.106528727,0.8448549372281189,3.708153248316233e-08,1.037550553992363e-08,0.0006664656823932462,0.0003507094641376645
64,5705,PUTAENDO,0.625,16537.97017094692,3348531.255056507,0.8346039295434133,7.130316816299409e-08,4.732730138663173e-09,0.0006664656823932468,0.0003501816463420358
65,5706,SANTA MARIA,0.625,16010.32066994115,4060279.5594724924,0.8298983896876257,6.90483714943846e-08,7.539496896246357e-09,0.0006664656823932469,0.0003505729693608865
66,5801,QUILPUE,0.625,173667.95606604574,6441949.018107779,1.3915413002591797,3.5965342100219026e-07,1.2987740195918502e-07,0.0006664656823932438,0.00035056977704301236
67,5802,LIMACHE,0.625,46036.72834200041,4345116.767307989,1.111442286080644,1.1849718733375295e-07,3.316528520153589e-08,0.000666465682393246,0.0003507448122571581
68,5803,OLMUE,0.625,16169.39583204269,4620587.54284445,1.0469079844936942,4.610185423174509e-08,2.2450614731807664e-08,0.0006664656823932466,0.00035087811358688826
69,5804,VILLA ALEMANA,0.625,145167.67537453028,5886544.280910466,1.2844571727515213,3.681195574254351e-07,5.515467303949847e-08,0.0006664656823932454,0.0003505961024033709
70,6101,RANCAGUA,0.625,234846.58952243297,5375007.61790832,1.5537555411761759,3.7683477260485164e-07,3.678648012626054e-07,0.0006664656823932469,0.00035483118953206713
71,6102,CODEGUA,0.625,14593.535873234636,4668915.464285908,0.8584701450517481,5.335966540890859e-08,1.262192457042759e-08,0.0006664656823932463,0.0003540080908204864
72,6103,COINCO,0.625,7243.746704133507,3560876.830818875,0.7149386141849714,4.153147946104561e-08,5.443560517049138e-09,0.0006664656823932464,0.0003539433398289257
73,6104,COLTAUCO,0.625,20083.803571341603,4550847.916433075,0.8550544450125863,8.284969683366224e-08,4.817618198899368e-09,0.0006664656823932467,0.00035396206391971456
74,6105,DONIHUE,0.625,20685.936133390136,5257770.138971936,0.9283386687658635,5.980404776786095e-08,2.5754919899130717e-08,0.000666465682393247,0.00035390970846160054
75,6106,GRANEROS,0.625,34689.32872673887,4600512.4542233655,1.0375413530295732,1.010195555796591e-07,2.8131436949490975e-08,0.0006664656823932464,0.00035423097300353254
76,6107,LAS CABRAS,0.625,24303.971004153547,3798246.152929113,1.3147872642891856,4.4840560755118255e-08,1.6841156185484223e-07,0.000666465682393247,0.000353937996095687
77,6108,MACHALI,0.625,54538.894521371345,7926973.222124899,1.3279181853455355,4.698796504688035e-08,1.1097392359695151e-07,0.0006664656823932466,0.0003539619898625339
78,6109,MALLOA,0.625,13941.994980378406,4230137.194778732,0.8448003149949789,5.6779259493855004e-08,9.520570442163135e-09,0.0006664656823932464,0.0003544460424629605
79,6110,SAN FRANCISCO DE MOSTAZAL,0.625,26946.263875991142,4589730.4426390445,1.042969771770043,4.8357178195194625e-08,5.293010637145313e-08,0.0006664656823932465,0.00035411613587565006
80,6111,OLIVAR,0.625,15495.358773231143,4642027.064537508,0.8719802119528255,4.932510537802741e-08,1.703914052106801e-08,0.0006664656823932467,0.00035429848390814176
81,6112,PEUMO,0.625,16279.160242747934,4005182.0113483146,0.8389591058066616,5.8845670042166356e-08,1.4300877368095616e-08,0.0006664656823932468,0.00035401650606614355
82,6113,PICHIDEGUA,0.625,20406.92245957305,3694597.679749441,0.8428147274028238,7.076978707310302e-08,1.348431174868557e-08,0.0006664656823932464,0.00035379903865039546
83,6114,QUINTA DE TILCOCO,0.625,13412.988058519024,5075620.936350539,0.7987604445611828,5.575900448761251e-08,1.0287595837255958e-08,0.0006664656823932466,0.00034944098193344787
84,6115,RENGO,0.625,62305.99745527726,4271229.319198906,1.1205347074299852,1.5905426112737738e-07,5.321030988664733e-08,0.0006664656823932465,0.00035437585762155334
85,6116,REQUINOA,0.625,34494.979617158955,4727546.31017575,1.0755900421642108,6.848271265504222e-08,4.6610321154306776e-08,0.0006664656823932452,0.0003550573501707266
86,6117,SAN VICENTE,0.625,47632.01948527242,5086672.951416901,1.1157417133467307,1.1031842677464852e-07,5.0772410497703416e-08,0.0006664656823932464,0.00035429196128660144
87,6201,PICHILEMU,0.625,14593.44977104431,5370621.390550249,1.0350343654016088,5.080429031555631e-08,1.935885289035946e-08,0.0006664656823932465,0.0003521027959602043
88,6202,LA ESTRELLA,0.625,3334.266442226717,3908396.9939450542,0.7747191442555775,2.9180843347710884e-08,2.1262311193617556e-08,0.0006664656823932465,0.00035341721990448527
